"","ML1","ML2"
"1",0.240612159018517,0.996148449015432
"2",-1.04619760974324,0.463799274689417
"3",1.06894572110461,-0.483652736244239
"4",-0.115997871711487,-1.91435368492503
"5",-0.42012269579452,0.655264579946535
"6",1.06702597627831,-0.00896661814791091
"7",1.64171633393015,-0.71142427305502
"8",-0.0244430818671417,1.0074822006282
"9",-0.756752913977195,-0.292689242753183
"10",-0.150523575164268,1.70987922232378
"11",0.26318948479706,-1.19086654066306
"12",-0.388837320275589,0.250597927826546
"13",-1.2482250643312,0.290440125349962
"14",1.32203362381846,-1.51337684218137
"15",-1.81299658753606,0.0773476263839285
"16",-0.504585138134429,-0.339494659156067
"17",1.68428380323509,0.336984957361241
"18",0.683406423988792,-0.493450032685211
"19",-0.826090859879756,1.62117806793288
"20",-0.676440807756101,-0.460847801646828
