,scale1,scale2,scale3,scale4,scale5,scale6,scale7,scale8,scale9,scale10,scale11,scale12,scale13,scale14,scale15
1,1,1,0,0,0,1,-1,1,1,0,-1,0,0,0,-1
2,-1,-2,-1,0,1,-1,-1,-1,0,0,2,2,-1,0,2
3,1,1,0,0,0,2,0,0,2,1,-1,0,0,0,-1
4,0,1,0,0,-1,0,-1,2,-2,0,-1,0,0,0,-2
5,0,-1,-1,0,1,0,-2,1,-1,0,0,0,0,0,1
6,0,1,0,2,0,0,-1,-1,-2,-2,-1,-1,2,2,0
7,1,2,1,1,0,1,0,-1,2,1,-2,-1,1,2,-1
8,0,1,-1,0,0,1,1,-1,1,2,0,0,-1,0,0
9,-1,-1,-1,0,0,-2,-2,0,0,-1,1,0,0,0,1
10,-1,-1,1,0,1,-1,0,0,-1,0,0,1,0,0,2
11,0,2,2,1,-1,1,0,0,-1,-1,-1,-2,2,2,-1
12,-1,-1,1,1,1,2,-2,-1,1,1,-1,0,0,-2,1
13,0,0,0,-1,1,-2,0,-1,1,-2,0,0,-1,-2,1
14,1,2,2,0,0,1,-1,2,-1,0,-1,0,0,0,0
15,-1,-2,-1,-1,1,-1,-1,0,-1,-1,1,1,-1,-1,1
16,-1,0,0,-1,-2,0,-2,0,-1,0,-1,0,0,0,0
17,1,2,0,1,-1,1,2,-1,2,1,-1,-1,1,2,0
18,1,0,-2,0,-1,-2,0,2,-2,-2,0,0,0,-1,2
19,-1,-2,-2,-1,1,-1,0,-2,2,-1,0,1,0,-1,2
20,0,1,1,0,0,-2,-2,-1,0,-2,0,0,0,-1,0
12,-1,-1,1,1,1,2,-2,-1,1,1,-1,0,0,-2,1
19,-1,-2,-2,-1,1,-1,0,-2,2,-1,0,1,0,-1,2
