,scale1,scale2,scale3,scale4,scale5,scale6,scale7,scale8,scale9,scale10,scale11,scale12,scale13,scale14,scale15
1,-1,-2,-1,0,2,-1,-1,1,2,-1,1,2,-2,-2,2
2,1,1,1,1,-1,-2,-2,2,-1,2,1,0,-1,-1,1
3,1,2,1,0,0,2,1,2,1,-1,-1,0,1,1,-1
4,0,1,1,0,-2,1,-2,2,-2,0,0,0,-1,1,-2
5,-1,-1,-1,1,1,-1,-1,0,1,1,1,1,0,0,1
6,2,1,1,-1,1,2,1,-2,1,0,-1,-1,1,1,0
7,2,2,2,-1,0,2,1,0,1,1,-1,-1,1,1,-1
8,1,-1,-2,2,1,2,1,-2,1,2,0,0,-2,-2,1
9,0,-1,-1,1,1,2,-1,-1,1,1,0,0,-1,-2,0
10,0,0,0,-1,1,-1,1,-2,-1,-2,0,0,1,1,0
11,0,1,1,-1,-1,1,-1,1,-1,1,-2,1,2,2,-1
12,0,-1,1,0,1,2,0,1,1,1,0,0,-1,1,0
13,-1,0,-1,-1,1,1,-1,-1,-1,0,0,1,-1,-2,1
14,2,2,2,0,-1,1,1,1,0,1,0,0,1,1,-1
15,-1,-1,0,-1,0,-2,-2,0,-1,-2,0,0,-2,-2,0
16,0,-1,0,-1,1,-2,-1,-1,2,-1,1,0,-1,-1,1
17,2,1,1,-1,1,-1,1,-2,1,-2,-1,0,1,-1,-1
18,2,2,1,-1,1,1,1,-1,-1,-1,-1,0,1,1,-1
19,1,-1,-1,1,0,1,0,-1,1,1,2,1,-1,-1,1
20,-1,1,1,-1,-1,0,-1,1,1,-1,0,0,0,-1,-1
10,1,1,1,-1,1,2,1,-1,-1,-1,0,0,1,1,0
8,-1,-1,-1,1,1,2,-1,-1,1,2,0,0,-2,-2,2
