,scale1,scale2,scale3,scale4,scale5,scale6,scale7,scale8,scale9,scale10,scale11,scale12,scale13,scale14,scale15
1,2,-1,0,0,2,2,2,0,2,-2,0,1,-1,-1,2
2,-2,1,0,-1,2,-2,0,-2,2,-2,2,2,1,1,2
3,2,2,-2,0,-2,1,2,2,2,-1,-1,0,-1,0,-2
4,0,2,2,0,-1,-1,1,2,1,1,0,0,0,0,-2
5,-2,-2,0,-1,2,1,2,1,1,-2,1,2,2,0,2
6,2,-1,-1,2,1,-2,-1,-2,-1,-2,2,1,0,-1,1
7,2,2,2,0,0,2,1,2,0,-1,0,-1,1,0,0
8,1,-1,-2,0,1,2,2,-1,1,-2,1,0,-2,0,1
9,-1,2,2,-2,-1,-2,-1,2,-2,-2,-1,1,-1,-2,-2
10,-1,-2,0,-2,2,-2,2,-1,1,-2,-1,-2,2,0,2
11,2,1,-2,2,-1,-2,2,-1,-2,-2,-1,-2,2,2,-1
12,-1,-2,2,0,2,-1,-2,-1,2,-2,0,0,-1,0,2
13,-2,2,-2,1,-1,-2,-2,-2,1,-2,2,2,-1,-2,-1
14,2,2,1,0,-1,2,1,2,2,2,-2,-1,-1,1,-2
15,-2,-2,0,0,-1,-2,-2,-2,1,-1,1,1,0,-2,1
16,0,1,1,0,1,-1,1,2,2,-1,0,1,0,0,-1
17,2,2,1,1,2,1,2,-2,2,-1,-2,-2,2,2,0
18,2,2,-2,1,-1,1,-1,2,2,-1,-2,-1,1,1,0
19,-1,-1,0,1,0,-2,2,-2,2,-2,1,2,0,0,0
20,-1,0,1,0,-1,-1,-2,-1,2,0,1,0,0,0,-2
10,2,-2,-1,-2,2,-2,2,0,-1,-2,-2,-2,2,1,2
12,-1,-2,2,0,-1,0,-2,1,2,-2,0,0,-1,0,2
